case	shape	bucket	input_dtype	output_dtype	openblas_baseline_mode	m	n	k	threads	candidate_signature	kc_latency_ms_p50	kc_gflops	openblas_latency_ms_p50	openblas_gflops	kc_gflops_vs_openblas	kc_latency_speedup_vs_openblas	slower_engine	slower_factor	slower_pct
f32_default	s128	medium	f32	f32	native_f32	128	128	128	16	blocked_pack|128|64|128|True|True|False|16|4|None|None	0.173839	24.1275	0.011306	370.98	0.06503719877082323	0.06503718958346516	kernel_autoresearch	15.37581814965505	1437.581814965505
f32_default	s256	medium	f32	f32	native_f32	256	256	256	16	blocked_pack|128|64|128|True|True|False|16|4|None|None	0.365877	91.7096	0.044473	754.49	0.12155177669684157	0.12155177832987588	kernel_autoresearch	8.226946686753761	722.6946686753761
f32_default	m512x1024x256	medium	f32	f32	native_f32	512	1024	256	16	blocked_pack|128|64|128|True|True|False|16|4|None|None	1.12025	239.621	0.285152	941.378	0.25454280852112543	0.2545431823253738	kernel_autoresearch	3.9286064975872512	292.8606497587251
f32_default	m1024	large	f32	f32	native_f32	1024	1024	1024	16	blocked_pack|128|96|64|True|True|False|16|1|None|None	9.62294	223.163	1.3596	1579.5	0.14128711617600506	0.1412873820266987	kernel_autoresearch	7.0777728743748165	607.7772874374816
f32_default	l2048x1024x2048	large	f32	f32	native_f32	2048	1024	2048	16	blocked_pack|128|96|64|True|True|False|16|1|None|None	29.3087	293.085	4.66165	1842.68	0.15905366097206242	0.15905345511742247	kernel_autoresearch	6.287194448317656	528.7194448317656
f16_quick	s128	medium	f16	f16	proxy_f32_from_f16	128	128	128	16	blocked_pack|64|80|160|False|False|False|16|1|f16|f16	0.0915	45.8394	0.01616	259.549	0.17661173805331556	0.17661202185792352	kernel_autoresearch	5.6621287128712865	466.2128712871287
f16_quick	s256	medium	f16	f16	proxy_f32_from_f16	256	256	256	16	blocked_pack|64|80|160|False|False|False|16|1|f16|f16	0.360923	92.9684	0.044578	752.713	0.12351108589860944	0.12351110901771292	kernel_autoresearch	8.096437704697385	709.6437704697385
f16_quick	m512x1024x256	medium	f16	f16	proxy_f32_from_f16	512	1024	256	16	blocked_pack|64|80|160|False|False|False|16|1|f16|f16	2.62971	102.078	0.287301	934.335	0.10925203486972017	0.10925197074962636	kernel_autoresearch	9.153152965008825	815.3152965008825
f16_quick	m1024	large	f16	f16	proxy_f32_from_f16	1024	1024	1024	4	blocked|64|64|64|False|False|True|4|2|f16|f16	240.936	8.91308	3.63787	590.314	0.015098879579342521	0.015098905933525916	kernel_autoresearch	66.22996423731469	6522.996423731469
f16_quick	l2048x1024x2048	large	f16	f16	proxy_f32_from_f16	2048	1024	2048	4	blocked|64|64|64|False|False|True|4|2|f16|f16	957.249	8.97357	14.671	585.505	0.015326205583214491	0.015326210839603905	kernel_autoresearch	65.24769954331676	6424.769954331676
i8_quick	s128	medium	i8	i32	proxy_f32_from_i8	128	128	128	16	blocked_pack|80|96|128|True|True|True|16|2|i8|i32	0.0871275	48.1398	0.01651	254.046	0.18949245412248175	0.18949241054776048	kernel_autoresearch	5.27725620835857	427.725620835857
i8_quick	s256	medium	i8	i32	proxy_f32_from_i8	256	256	256	16	blocked_pack|80|96|128|True|True|True|16|2|i8|i32	0.271	123.817	0.044503	753.981	0.1642176659624049	0.16421771217712175	kernel_autoresearch	6.089477113902434	508.9477113902434
i8_quick	m512x1024x256	medium	i8	i32	proxy_f32_from_i8	512	1024	256	16	blocked_pack|80|96|128|True|True|True|16|2|i8|i32	1.00052	268.297	0.329434	814.838	0.3292642218453239	0.3292627833526566	kernel_autoresearch	3.0370878537127317	203.70878537127317
i8_quick	m1024	large	i8	i32	proxy_f32_from_i8	1024	1024	1024	4	blocked|48|64|32|True|True|True|4|1|i8|i32	24.4979	87.6599	3.61287	594.398	0.14747677482091123	0.14747672249458116	kernel_autoresearch	6.780731108509301	578.0731108509301
i8_quick	l2048x1024x2048	large	i8	i32	proxy_f32_from_i8	2048	1024	2048	4	blocked|48|64|32|True|True|True|4|1|i8|i32	107.793	79.6891	14.3897	596.949	0.13349398357313608	0.13349382612971156	kernel_autoresearch	7.490983133769294	649.0983133769295
