ts	iteration	bucket	candidate_signature	correctness_pass	avg_latency_ms	avg_gflops	score	best_score_before	best_score_after	decision	reason	proposal_source	proposal_note
2026-03-18T17:55:52	1	medium	blocked|128|128|64|False|False|True|1|2	1	5.018596	20.355300	1.115048	1.000000	1.115048	keep	score_improved		
2026-03-18T17:55:52	2	medium	blocked_pack|128|128|128|True|True|False|16|4	1	0.669064	129.838800	7.735797	1.115048	7.735797	keep	score_improved		
2026-03-18T17:55:52	3	medium	blocked_pack|128|128|128|True|True|False|1|2	1	3.227165	31.211667	1.721841	7.735797	7.735797	revert	improvement_below_threshold		
2026-03-18T17:55:52	4	medium	blocked_pack|128|128|128|True|True|True|1|1	1	5.065507	19.884333	1.096956	7.735797	7.735797	revert	improvement_below_threshold		
2026-03-18T17:55:52	5	medium	blocked_pack|128|128|64|True|True|True|1|2	1	5.205964	19.929767	1.083359	7.735797	7.735797	revert	improvement_below_threshold		
2026-03-18T17:55:52	6	medium	blocked_pack|128|128|96|True|True|False|16|1	1	0.460020	146.246267	10.080043	7.735797	10.080043	keep	score_improved		
2026-03-18T17:55:53	7	medium	blocked_pack|128|128|96|True|True|True|4|1	1	1.508465	45.191300	3.090283	10.080043	10.080043	revert	improvement_below_threshold		
2026-03-18T17:55:53	8	medium	blocked_pack|128|128|96|True|True|True|4|4	1	1.479563	46.372667	3.158859	10.080043	10.080043	revert	improvement_below_threshold		
2026-03-18T17:55:53	9	medium	blocked_pack|128|64|128|True|True|False|16|4	1	0.428146	153.066033	10.718629	10.080043	10.718629	keep	score_improved		
2026-03-18T17:55:53	10	medium	blocked_pack|128|64|64|True|True|True|4|4	1	1.420189	54.410567	3.458611	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:53	11	medium	blocked_pack|128|64|96|True|True|False|1|4	1	3.634078	28.213533	1.542699	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:53	12	medium	blocked_pack|128|64|96|True|True|True|16|1	1	0.887187	75.320867	5.212635	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:53	13	medium	blocked_pack|128|96|64|True|True|False|4|2	1	1.051678	68.150733	4.524101	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:53	14	medium	blocked_pack|128|96|96|True|True|False|4|2	1	0.941616	76.671200	5.068156	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:53	15	medium	blocked_pack|128|96|96|True|True|True|16|4	1	0.620300	105.405500	7.391541	10.718629	10.718629	revert	improvement_below_threshold		
2026-03-18T17:55:55	16	large	blocked|128|64|128|False|False|True|4|1	1	69.036550	77.856800	1.013028	1.000000	1.013028	keep	score_improved		
2026-03-18T17:55:56	17	large	blocked_pack|128|128|64|True|True|True|16|1	1	18.015350	297.324000	3.873935	1.013028	3.873935	keep	score_improved		
2026-03-18T17:55:57	18	large	blocked_pack|128|128|96|True|True|False|4|4	1	44.103050	122.373000	1.589665	3.873935	3.873935	revert	improvement_below_threshold		
2026-03-18T17:55:58	19	large	blocked_pack|128|64|128|True|True|False|16|1	1	12.949695	416.988500	5.415682	3.873935	5.415682	keep	score_improved		
2026-03-18T17:55:59	20	large	blocked_pack|128|64|128|True|True|False|16|2	1	12.819705	420.102500	5.461854	5.415682	5.415682	revert	improvement_below_threshold		
2026-03-18T17:56:00	21	large	blocked_pack|128|64|64|True|True|True|16|1	1	21.147810	269.588500	3.428048	5.415682	5.415682	revert	improvement_below_threshold		
2026-03-18T17:56:01	22	large	blocked_pack|128|96|128|True|True|True|16|1	1	19.338060	274.439500	3.588971	5.415682	5.415682	revert	improvement_below_threshold		
2026-03-18T17:56:02	23	large	blocked_pack|128|96|64|True|True|False|16|1	1	12.372050	420.314500	5.541878	5.415682	5.541878	keep	score_improved		
2026-03-18T17:56:03	24	large	blocked_pack|128|96|64|True|True|False|16|4	1	12.979255	412.277500	5.373836	5.541878	5.541878	revert	improvement_below_threshold		
2026-03-18T17:56:05	25	large	blocked_pack|128|96|64|True|True|True|4|1	1	71.208550	75.530300	0.982508	5.541878	5.541878	revert	improvement_below_threshold		
2026-03-18T17:56:07	26	large	blocked_pack|64|128|128|True|True|False|4|2	1	44.290500	121.656000	1.581375	5.541878	5.541878	revert	improvement_below_threshold		
2026-03-18T17:56:08	27	large	blocked_pack|64|128|128|True|True|True|16|1	1	18.341480	295.038500	3.828600	5.541878	5.541878	revert	improvement_below_threshold		
2026-03-18T17:56:09	28	large	blocked_pack|64|128|128|True|True|True|4|2	1	70.324250	76.127000	0.992092	5.541878	5.541878	revert	improvement_below_threshold		
2026-03-18T17:56:11	29	large	blocked_pack|64|128|64|True|True|True|4|1	1	70.083750	76.936550	0.999799	5.541878	5.541878	revert	improvement_below_threshold		
