ts	iteration	bucket	candidate_signature	correctness_pass	avg_latency_us	avg_gflops	score	best_score_before	best_score_after	decision	reason	hypothesis
2026-03-19T17:56:05	1	medium	blocked_pack|128|64|128|True|True|True|16|1	1	564.828	101.665933	7.157048	1.000000	7.157048	keep	score_improved	bucket=medium try blocked_pack (bm=128,bn=64,bk=128,th=16,uk=1,simd=1)
2026-03-19T17:56:05	2	medium	blocked|96|96|128|False|False|True|16|1	1	621.244	95.019600	6.576125	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked (bm=96,bn=96,bk=128,th=16,uk=1,simd=1)
2026-03-19T17:56:05	3	medium	blocked_pack|96|96|64|True|True|False|4|4	1	1044.401	73.988833	4.377900	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked_pack (bm=96,bn=96,bk=64,th=4,uk=4,simd=0)
2026-03-19T17:56:05	4	medium	blocked_pack|96|96|64|True|True|True|1|2	1	3307.018	28.833400	1.528502	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked_pack (bm=96,bn=96,bk=64,th=1,uk=2,simd=1)
2026-03-19T17:56:05	5	medium	blocked_pack|128|64|64|True|True|True|4|4	1	961.609	65.915733	4.369348	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked_pack (bm=128,bn=64,bk=64,th=4,uk=4,simd=1)
2026-03-19T17:56:05	6	medium	blocked_pack_simd|128|96|64|True|True|True|1|4	1	3226.828	28.989933	1.551540	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked_pack_simd (bm=128,bn=96,bk=64,th=1,uk=4,simd=1)
2026-03-19T17:56:05	7	medium	blocked_pack|96|64|64|True|True|True|1|4	1	3404.049	28.372533	1.494567	7.157048	7.157048	revert	improvement_below_threshold	bucket=medium try blocked_pack (bm=96,bn=64,bk=64,th=1,uk=4,simd=1)
2026-03-19T17:56:06	8	large	blocked_pack|128|96|64|True|True|False|16|2	1	8443.850	254.325000	12.221537	1.000000	12.221537	keep	score_improved	bucket=large try blocked_pack (bm=128,bn=96,bk=64,th=16,uk=2,simd=0)
2026-03-19T17:56:06	9	large	blocked|96|96|128|False|False|True|4|4	1	22441.200	95.693700	4.598542	12.221537	12.221537	revert	improvement_below_threshold	bucket=large try blocked (bm=96,bn=96,bk=128,th=4,uk=4,simd=1)
2026-03-19T17:56:07	10	large	blocked_pack_simd|128|64|128|True|True|True|16|2	1	5318.410	403.783000	19.403706	12.221537	19.403706	keep	score_improved	bucket=large try blocked_pack_simd (bm=128,bn=64,bk=128,th=16,uk=2,simd=1)
2026-03-19T17:56:07	11	large	blocked|64|96|96|False|False|False|16|2	1	7819.030	274.648000	13.198157	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked (bm=64,bn=96,bk=96,th=16,uk=2,simd=0)
2026-03-19T17:56:07	12	large	blocked|64|64|96|False|False|True|16|4	1	6472.180	331.802000	15.944678	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked (bm=64,bn=64,bk=96,th=16,uk=4,simd=1)
2026-03-19T17:56:08	13	large	blocked_pack_simd|96|64|128|True|True|True|4|4	1	20016.900	107.284000	5.155501	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked_pack_simd (bm=96,bn=64,bk=128,th=4,uk=4,simd=1)
2026-03-19T17:56:08	14	large	blocked_pack|128|96|128|True|True|True|4|2	1	18028.400	119.117000	5.724136	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked_pack (bm=128,bn=96,bk=128,th=4,uk=2,simd=1)
2026-03-19T17:56:09	15	large	blocked|64|128|128|False|False|False|4|4	1	28066.200	76.514900	3.676908	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked (bm=64,bn=128,bk=128,th=4,uk=4,simd=0)
2026-03-19T17:56:09	16	large	blocked_pack_simd|64|128|64|True|True|True|4|1	1	17769.900	120.850000	5.807411	19.403706	19.403706	revert	improvement_below_threshold	bucket=large try blocked_pack_simd (bm=64,bn=128,bk=64,th=4,uk=1,simd=1)
